text,date,likes,business_id,user_id
Great breakfast large portions and friendly waitress. I highly recommend it,2015-08-12,0,jH19V2I9fIslnNhDzPmdkA,ZcLKXikTHYOnYt5VYRO5sg
Nice be the place. Great staff.  A fixture in the township forever,2014-06-20,0,dAa0hB2yrnHzVmsCkN4YvQ,oaYhjqBbh18ZhU0bpyzSuw
Happy hour 5-7 Monday - Friday,2016-10-12,0,dAa0hB2yrnHzVmsCkN4YvQ,ulQ8Nyj7jCUR8M83SUMoRQ
"Parking is a premium, keep circling, you will eventually find a great spot",2017-01-28,0,ESzO3Av0b1_TzKOiqzbQYQ,ulQ8Nyj7jCUR8M83SUMoRQ
Homemade pasta is the best in the area,2017-02-25,0,k7WRPbDd7rztjHcGGkEjlw,ulQ8Nyj7jCUR8M83SUMoRQ
"Excellent service, staff is dressed professionally, polite, mannered, and well trained",2017-04-08,0,k7WRPbDd7rztjHcGGkEjlw,ulQ8Nyj7jCUR8M83SUMoRQ
Come early on Sunday's to avoid the rush,2016-07-03,0,SqW3igh1_Png336VIb5DUA,ulQ8Nyj7jCUR8M83SUMoRQ
Love a bad set their soup!,2016-01-07,0,KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ
Soups are fantastic!,2016-05-22,0,KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ
Thursday night is $5 burger night,2016-06-09,0,KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ
"Very good for lunch, bread and soup are excellent",2016-06-01,0,8qNOI6Q1-rJrvWWD5Btz6w,ulQ8Nyj7jCUR8M83SUMoRQ
A BAD set Tuesday spaghetti special  all day $5.59 includes soup or salad and bread,2016-06-14,0,8qNOI6Q1-rJrvWWD5Btz6w,ulQ8Nyj7jCUR8M83SUMoRQ
There isn't a bad seat in the house!,2017-01-21,0,FCUVjQf762no86Uzcbv1Tg,ulQ8Nyj7jCUR8M83SUMoRQ
Nice happy hour m-f 5-7pm and th-fr 10pm-12am,2016-06-13,0,Tl_jT2a0bRMac5_YW65GPg,ulQ8Nyj7jCUR8M83SUMoRQ
"Always have something new on the inter menu, love trying new things here :)",2016-06-30,0,Tl_jT2a0bRMac5_YW65GPg,ulQ8Nyj7jCUR8M83SUMoRQ
Brisket sandwich not bad but ask for extra napkins it was quite messy and if you like the taste of bbq ask for extra sauce  on the side...burger a little over cooked...nice restaurant  was very clean,2015-10-28,0,c5NHHW0sNm7eaQBwvQJkkw,ulQ8Nyj7jCUR8M83SUMoRQ
Double wide does offer free charging stations for phones,2016-02-11,0,zJwm3DThV4WUIkyNv68Ahw,ulQ8Nyj7jCUR8M83SUMoRQ
Black Angus and the Roast beef :),2012-12-03,0,JzB7NITHQ7gVHGVZ1ntgIQ,TvkqJ8YEIsTb16RnnrNyfQ
"Expensive, but convenient for hotel stays",2012-12-02,0,h14GmWZ8rXum9fXF__wt3w,TvkqJ8YEIsTb16RnnrNyfQ
"It's a beautiful day to fly in North Carolina. And now, let's see if we can find us some sweet tea",2012-01-18,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
"Cloudy, a bit rainy, but it should be a great day to fly nonetheless",2012-01-20,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
Connecting here on way to Philadelphia...finally.,2012-03-31,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
Hot here too. Dang!,2012-06-20,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
My gold service you like the rate was going to be $100. My AAA is $60! Ask for it,2012-11-12,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
"For Gold members Hertz has a new ""concierge"" service. A guy follows u to ur car to make sure u like it...but they also try 2 sell u upgrade",2012-01-18,0,3pQ4KSnOX9Y2IEMJvGFxUg,TvkqJ8YEIsTb16RnnrNyfQ
Negotiated the upgrades. You just might get a good deal,2012-10-09,0,3pQ4KSnOX9Y2IEMJvGFxUg,TvkqJ8YEIsTb16RnnrNyfQ
Carfirmations is where it's at,2012-11-14,0,3pQ4KSnOX9Y2IEMJvGFxUg,TvkqJ8YEIsTb16RnnrNyfQ
"Finally, found some churros. Four types here. It should be great!",2012-03-28,0,xFN8mRubo3G0oIzJwc8XBA,TvkqJ8YEIsTb16RnnrNyfQ
Smooth on time arrival at noonish. Reported Temperature 78F. It should be alright :) - by bechego,2012-03-27,0,JmI9nslLD7KZqRr__Bg6NQ,TvkqJ8YEIsTb16RnnrNyfQ
Rental Facility shuttle service for terminal 4 STUNK today...and the airport wasn't even busy! Fail!,2012-03-29,0,JmI9nslLD7KZqRr__Bg6NQ,TvkqJ8YEIsTb16RnnrNyfQ
Good overall. Not too expensive and great location near highway entrance...easy on easy off. Good service.,2012-03-29,0,#NAME?,TvkqJ8YEIsTb16RnnrNyfQ
On time today,2012-03-27,0,bp5ARRJu3_8CBsAS4tOWhA,TvkqJ8YEIsTb16RnnrNyfQ
Delayed flight to Houston today over one hour,2012-03-29,0,bp5ARRJu3_8CBsAS4tOWhA,TvkqJ8YEIsTb16RnnrNyfQ
Vast choice today.,2012-03-27,0,kamKFAkLzH-mXx5QmvCefg,TvkqJ8YEIsTb16RnnrNyfQ
closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed,2012-03-28,0,Xmndl6GoZg8taEUlwQMYxg,TvkqJ8YEIsTb16RnnrNyfQ
Try one of the Bento Box options,2012-10-09,0,eZDXz_RylvdD0tHEA8I0NA,TvkqJ8YEIsTb16RnnrNyfQ
Great clay jar pork!,2011-05-13,0,xTNtyQsPdunuGAIcn69J8Q,TvkqJ8YEIsTb16RnnrNyfQ
"Great food, mediocre friendliness\/service",2011-03-30,0,xTNtyQsPdunuGAIcn69J8Q,TvkqJ8YEIsTb16RnnrNyfQ
USAir check-in desk agent Nancy E. is the sadest poor customer service provider I experienced this week. She doesn't want to be there. #Fail,2011-05-20,0,u7CxxEzx8hvjoJ8onN4zTg,TvkqJ8YEIsTb16RnnrNyfQ
Great weather for eating outdoors. Good service.,2012-03-27,0,1CqDdPrrb0xvQpgu7fhI5w,TvkqJ8YEIsTb16RnnrNyfQ
Good service. Good concierge lounge with good dessert at night. Good location.,2012-01-20,0,Os2gtbn-gTJXz0lKge6VDg,TvkqJ8YEIsTb16RnnrNyfQ
Just an overnight for work. The lounge and top management are great. Recommended!,2012-06-21,0,Os2gtbn-gTJXz0lKge6VDg,TvkqJ8YEIsTb16RnnrNyfQ
The marketing lady is out handing out gifts and coupons today. Nice lady and great service again!,2012-01-20,0,GtioOu-ZcwVJUhTgox4lsA,TvkqJ8YEIsTb16RnnrNyfQ
Ask for free refills!,2012-01-19,0,GtioOu-ZcwVJUhTgox4lsA,TvkqJ8YEIsTb16RnnrNyfQ
The fried banana dessert is good,2012-09-02,0,_AKdBFzkl7GY-daxUCCbVA,TvkqJ8YEIsTb16RnnrNyfQ
"The service provided by some here is truly exemplary @marriottintl, especially Gabriella who works in the dining area. #Recommended",2012-12-05,0,N_IytPmdrTc9yn3tWPFtQg,TvkqJ8YEIsTb16RnnrNyfQ
It is a great day to fly. Different:There's a bathroom attendant in men's bathroom in terminal C,2011-09-29,0,Lyq7ULam8T-ZddYLHq4DqA,TvkqJ8YEIsTb16RnnrNyfQ
"The place to go after work, but, it ain't cheap",2012-08-22,0,QFPS9JBNdOOHVP0C3pSslw,TvkqJ8YEIsTb16RnnrNyfQ
"I didn't eat here, but they were nice enough to tell me where to find tacos de lengua y churros. Look at my next post to find out where :)",2012-03-28,0,HWjqW5ZFJ8eZRQuHcpySQA,TvkqJ8YEIsTb16RnnrNyfQ
"Good food, but it took too long to get the food. Recommended!",2012-03-29,0,3x45Q9c5G6VBicedNKrXxQ,TvkqJ8YEIsTb16RnnrNyfQ
Noisy but should be fun,2013-01-29,0,JzB7NITHQ7gVHGVZ1ntgIQ,lJ2rbcLTtIVKW2WzC0hhLg
Noisy,2012-12-23,0,cGQKUOAZm_VHcQOJWbatog,lJ2rbcLTtIVKW2WzC0hhLg
Tables almost completely full of people with laptops,2013-07-22,0,VaQhUU3P4Z5A3oYPsEMbkw,lJ2rbcLTtIVKW2WzC0hhLg
Greek Easter egg dye!,2013-03-11,0,EnJS6OeeknzOjVUX6RYwlQ,lJ2rbcLTtIVKW2WzC0hhLg
Brunch until 2:30 Saturday and subsay,2013-04-27,0,azE1DNVQFBU8boVbaJhj7w,lJ2rbcLTtIVKW2WzC0hhLg
They've closed this location and consolidated to their other.,2013-10-18,0,v50-nvBCZNf7nCNbyUlQLw,lJ2rbcLTtIVKW2WzC0hhLg
Getting lots of little yummy things!,2013-01-25,0,iT9KMTR8NqYwSCW-zMUOxw,lJ2rbcLTtIVKW2WzC0hhLg
Lunch menu ends at 3 p. m.,2013-10-18,0,iT9KMTR8NqYwSCW-zMUOxw,lJ2rbcLTtIVKW2WzC0hhLg
Salted caramel macaroons! Espresso macaroons!,2014-07-02,0,#NAME?,lJ2rbcLTtIVKW2WzC0hhLg
Fancy bar with food. Bar dominates first impression.,2013-01-30,0,mRZCTkOgDc28VWYMvo3nVQ,lJ2rbcLTtIVKW2WzC0hhLg
"Indie, good service, good selection.",2013-07-24,0,ZeLSZRm_l0Aw7idB3_fKbA,lJ2rbcLTtIVKW2WzC0hhLg
Is two at a time just right or are we too greedy?,2013-02-17,0,1cGyzWtfOoDiE8V0OR85yA,lJ2rbcLTtIVKW2WzC0hhLg
"Be nice to them, they'll treat you right.",2014-02-15,0,1cGyzWtfOoDiE8V0OR85yA,lJ2rbcLTtIVKW2WzC0hhLg
They should be paying me to watch these ads.,2012-12-23,0,RxNPIAim-2fIw43IilR62g,lJ2rbcLTtIVKW2WzC0hhLg
"Felt a mite hipstery, but I was treated well and served great coffee and pastry.",2013-01-25,0,2M8HhQRsKqETmxo8YhtVGQ,lJ2rbcLTtIVKW2WzC0hhLg
"Blawnox, not Aspinwall",2013-01-24,0,cKDql3YTCVyh2ljA21yE2A,lJ2rbcLTtIVKW2WzC0hhLg
"Address is incorrect. Location is 405 Freeport Road, Blawnox.",2013-01-29,0,cKDql3YTCVyh2ljA21yE2A,lJ2rbcLTtIVKW2WzC0hhLg
Salted caramel latte and amazing brownies!,2013-01-30,0,cKDql3YTCVyh2ljA21yE2A,lJ2rbcLTtIVKW2WzC0hhLg
Good customer service,2014-04-08,0,2uDJ3Vd1E_49QMNuSQYpyQ,lJ2rbcLTtIVKW2WzC0hhLg
Friendly owner,2013-10-18,0,BIN_lwo-4Y441qdDljtdlw,lJ2rbcLTtIVKW2WzC0hhLg
Knorks!,2013-10-20,0,Fozo0B-y42EhRMomR0K5vQ,lJ2rbcLTtIVKW2WzC0hhLg
Very nice!,2012-12-23,0,GAmd3nHx5TInVN26PLZj7g,lJ2rbcLTtIVKW2WzC0hhLg
Good garlic knots,2013-07-20,0,cJREFoHP-dAYmwDzfWOHbA,lJ2rbcLTtIVKW2WzC0hhLg
